,Title,Year,Genre,Rating,Director,Votes
245,Bio Hazard,1996.0,"['Action', 'Adventure', 'Horror']",8.9,Shinji Mikami,5212
246,Super Mario Bros.,1985.0,"['Animation', 'Action', 'Adventure']",8.9,Shigeru Miyamoto,5654
247,Titanic: Adventure Out of Time,1996.0,"['Action', 'Adventure', 'Mystery']",8.9,Kevin Garrett,304
248,The Pandora Directive,1996.0,"['Action', 'Adventure', 'Comedy']",8.9,Adrian Carr,263
249,Blade Runner,1997.0,"['Action', 'Adventure', 'Crime']",8.9,Joseph D. Kucan,1861
250,Wing Commander III: Heart of the Tiger,1994.0,"['Action', 'Adventure', 'Sci-Fi']",8.9,Chris Roberts,778
251,D.I.R.T.: Origin of the Species,2006.0,"['Action', 'Adventure', 'Fantasy']",8.8,Cole Paterson,6
252,Wonderful Everyday,2010.0,['Mystery'],8.8,Kei Mizusawa,9
253,Unavowed,2018.0,"['Adventure', 'Fantasy', 'Horror']",8.8,Dave Gilbert,118
254,Heroes of Might and Magic II,2000.0,['Fantasy'],8.8,,9
255,Hollow Knight,2017.0,"['Animation', 'Action', 'Adventure']",8.8,,1322
256,Finding Paradise,2017.0,"['Adventure', 'Drama', 'Sci-Fi']",8.8,Kan Gao,154
257,Muv-Luv Alternative,2006.0,"['Sci-Fi', 'War']",8.8,Hitomi,14
258,Horizon Zero Dawn: The Frozen Wilds,2017.0,"['Action', 'Adventure', 'Family']",8.8,Mathijs de Jonge,1220
259,Divinity: Original Sin II,2017.0,"['Adventure', 'Fantasy']",8.8,Swen Vincke,626
